EPD_C1,75.87,13.85,0.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C10,91.63,24.30,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C11,89.88,24.23,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C12,88.13,24.30,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C2,78.26,12.88,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C5,100.38,24.30,270.00,0.1uF/50V,EAGLE-LTSPICE_C0402
EPD_C6,98.63,24.30,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C7,96.88,24.30,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C8,95.13,24.30,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C9,93.38,24.30,90.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_CS,111.33,3.68,0.00,TPTP20R,TP20R
EPD_DC,111.33,6.06,0.00,TPTP20R,TP20R
EPD_RST,111.33,8.84,0.00,TPTP20R,TP20R
GND,157.53,5.17,0.00,TPTP20R,TP20R
GND_2,160.54,5.17,0.00,TPTP20R,TP20R
IC1,59.10,102.88,0.00,BD5229G-TR,SOT95P280X125-5N
IC4,126.30,43.41,0.00,XC6220A331MR-G,SOT95P280X120-5N
INT_RTC,11.98,33.81,0.00,TPTP20R,TP20R
J1,94.00,13.54,0.00,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99
J2,176.67,54.30,90.00,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA
J3,177.09,19.30,90.00,QWIIC_RIGHT_ANGLE,JST04_1MM_RA
J4,19.23,88.88,270.00,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND
L1,91.25,34.09,270.00,68uH,IND_4828-WE-TPC_WRE
MCP73831,129.26,52.37,90.00,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
MISO,79.11,3.56,0.00,TPTP20R,TP20R
MOSI,11.98,37.15,0.00,TPTP20R,TP20R
